application_id,requested_amount_usd,repayment_term_text,interest_rate_text,monthly_installment_usd,last_payment_amount_usd,risk_grade_band,risk_grade_detail,employment_tenure_text,housing_status,annual_income_usd,income_verification_status,origination_month,outcome_status,loan_purpose,region_code,debt_to_income_ratio,credit_score_low,credit_score_high,open_credit_lines,public_records_count,revolving_utilization_text
41080563,18000.0, 60 months,13.33,412.61,15325.62,C,C3,3 years,OWN,105000.0,Verified,Feb-2015,Fully Paid,debt_consolidation,AZ,6.78,670.0,674.0,7.0,0.0,89.5
76295652,1000.0, 36 months,11.99,33.21,842.45,C,C1,1 year,RENT,28500.0,Not Verified,Apr-2016,Fully Paid,home_improvement,FL,11.54,690.0,694.0,3.0,1.0,13.3
60586596,21275.0, 36 months,10.99,696.42,7380.8,B,B4,5 years,MORTGAGE,130000.0,Verified,Sep-2015,Fully Paid,debt_consolidation,PA,23.08,680.0,684.0,13.0,0.0,75.7
59310389,35000.0, 60 months,16.99,869.66,32305.48,D,D3,10+ years,MORTGAGE,107000.0,Source Verified,Sep-2015,Fully Paid,credit_card,SC,16.3,710.0,714.0,10.0,0.0,76.5
44516103,17000.0, 60 months,17.57,427.73,427.73,D,D4,8 years,RENT,55000.0,Source Verified,Apr-2015,Charged Off,credit_card,CA,31.27,680.0,684.0,8.0,0.0,62.5
50334103,12000.0, 60 months,13.99,279.16,8476.64,C,C4,1 year,RENT,35000.0,Source Verified,Jun-2015,Fully Paid,credit_card,MA,21.95,675.0,679.0,12.0,0.0,67.8
41750266,25000.0, 60 months,11.53,550.2,7284.12,B,B5,9 years,MORTGAGE,103000.0,Verified,Mar-2015,Fully Paid,debt_consolidation,MD,11.37,735.0,739.0,19.0,0.0,23.5
113100285,31200.0, 36 months,24.85,1238.04,1238.04,E,E3,9 years,MORTGAGE,45000.0,Source Verified,Aug-2017,Charged Off,credit_card,KS,27.55,700.0,704.0,7.0,0.0,79.1
79753268,25000.0, 60 months,16.29,611.82,430.0,D,D1,2 years,RENT,93000.0,Not Verified,Jun-2016,Charged Off,home_improvement,MA,7.19,680.0,684.0,6.0,1.0,13.5
81557121,16000.0, 36 months,16.29,564.81,5310.76,D,D1,2 years,RENT,74000.0,Verified,Jun-2016,Fully Paid,credit_card,NY,28.33,675.0,679.0,8.0,0.0,74.4
